"","gene_symbols","IST-MES1","MPP-89","MSTO-211H","NCI-H2052","NCI-H226","NCI-H2369","NCI-H2373","NCI-H2452","NCI-H2461","NCI-H2591","NCI-H2595","NCI-H2722","NCI-H2731","NCI-H2795","NCI-H28","NCI-H2803","NCI-H2804","NCI-H2810","NCI-H2818","NCI-H2869","NCI-H290"
"98","ABHD12","4.0","2.0","3.0","6.0","2.0","3.0","2.0","4.0","6.0","2.0","3.0","4.0","2.0","2.0","3.0","1.0","4.0","3.0","4.0","2.0","3.0"
"99","ABHD12B","4.0","3.0","4.0","3.0","2.0","3.0","2.0","2.0","3.0","1.0","3.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","2.0"
"100","ABHD13","4.0","3.0","3.0","6.0","2.0","2.0","2.0","2.0","5.0","2.0","3.0","2.0","2.0","2.0","4.0","2.0","4.0","2.0","2.0","2.0","3.0"
"101","ABHD14A","2.0","3.0","3.0","4.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","1.0","1.0","5.0","2.0","2.0","3.0","4.0","1.0","2.0"
"102","ABHD14B","2.0","3.0","3.0","4.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0","1.0","1.0","5.0","2.0","2.0","3.0","4.0","1.0","2.0"
"103","ABHD15","4.0","2.0","4.0","4.0","2.0","2.0","2.0","3.0","4.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"104","ABHD16A","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"105","ABHD16B","4.0","4.0","3.0","5.0","2.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"106","ABHD17A","4.0","2.0","3.0","3.0","2.0","2.0","2.0","4.0","4.0","1.0","2.0","4.0","3.0","1.0","3.0","2.0","2.0","3.0","4.0","2.0","3.0"
"107","ABHD17AP1","4.0","3.0","3.0","4.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","5.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"108","ABHD17AP4","2.0","2.0","3.0","3.0","1.0","3.0","1.0","4.0","3.0","1.0","3.0","2.0","2.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","3.0"
"109","ABHD17AP5","0.0","2.0","3.0","4.0","1.0","3.0","1.0","2.0","3.0","1.0","3.0","3.0","2.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"110","ABHD17AP6","4.0","2.0","4.0","4.0","2.0","2.0","2.0","3.0","4.0","1.0","3.0","4.0","2.0","2.0","3.0","2.0","2.0","4.0","4.0","2.0","4.0"
